Participant,Reu,GreenX,GreenZ,YellowX,YellowY,RedX,RedZ,MarkerAngle,UserX,UserZ,ErrorX,ErrorY,ErrorMag,MarkerTime,TrialTime,Landmark,AngleError,Interface
0,Y,-1.5,0.0,0.3,0.0,1.4,-0.5,22.5,-1.7,-0.5,-0.2,-0.5,0.53851648071345,6.74409,24.21075,L,-9.78240703180728,0
0,Y,0.0,-2.1,0.0,-0.5,-1.1,0.1,-65.5,-0.3,-2.5,-0.3,-0.4,0.5,4.14474000000001,17.82252,L,9.46232220802561,0
0,Y,1.5,0.0,-0.3,0.0,0.8,1.1,135,1.7,0.1,0.2,0.1,0.223606797749979,4.06129,24.12796,L,-9.51602020496815,0
0,Y,-1.5,0.0,0.0,0.0,-1.1,1.1,-135,-1.9,-0.4,-0.4,-0.4,0.565685424949238,3.3939,13.9495,L,8.08938041395293,0
0,Y,0.0,2.1,0.0,0.6,0.6,-0.8,-22.5,-0.2,1.8,-0.2,-0.3,0.360555127546399,4.7586,14.5141,L,-5.41335979361307,0
0,Y,-1.2,1.8,0.1,0.5,-0.8,-0.3,90,-1.0,1.4,0.2,-0.4,0.447213595499958,1.98409999999998,10.3619,L,4.07446105980565,0
0,Y,1.2,-1.8,0.1,-0.8,-0.8,-1.7,-90,1.3,-1.6,0.1,0.2,0.223606797749979,2.5727,10.2949,L,-5.58871622001803,0
0,Y,1.5,0.0,-0.2,0.0,-1.0,0.9,45,2.1,0.3,0.6,0.3,0.670820393249937,2.92169999999999,11.6551,L,-8.84481371112656,0
0,Y,-1.5,0.0,0.2,0.0,-0.4,1.3,-112.5,-1.9,-0.3,-0.4,-0.3,0.5,1.91419999999999,12.9142,L,2.91603142473172,0
0,Y,-1.2,-1.8,0.0,-0.6,0.0,0.9,-45,-1.0,-1.7,0.2,0.1,0.223606797749979,2.67740000000001,12.2662,L,-2.92497794915634,0
0,Y,0.0,-2.1,0.0,-0.5,1.1,0.0,67.5,0.4,-2.7,0.4,-0.6,0.721110255092798,2.35079999999999,9.87299999999999,L,-13.1115202831985,0
0,Y,0.0,2.1,0.0,0.6,-1.3,1.1,112.5,-0.1,2.7,-0.1,0.6,0.608276253029822,2.76550000000003,14.3321,L,-15.5615103253285,0
0,Y,-1.2,-1.8,0.0,-0.6,1.3,-0.6,45,-0.1,2.3,1.1,4.1,4.24499705535823,16.61097,31.15542,N,89.8716781999666,0
0,Y,0.0,2.1,0.0,0.6,1.4,1.2,-112.5,1.6,-2.4,1.6,-4.5,4.77598157450382,22.59753,31.35309,N,-125.915056391972,0
0,Y,1.2,-1.8,0.0,-0.6,1.4,-0.1,112.5,0.6,-2.6,-0.6,-0.8,1,26.30691,36.91802,N,11.0348348172999,0
0,Y,0.0,-2.1,0.0,-0.6,-1.1,-1.7,-135,1.7,-0.1,1.7,2,2.62488094968134,17.8778,29.9778,N,-49.7279878188422,0
0,Y,1.5,0.0,0.0,0.0,1.1,1.1,135,-1.1,1.6,-2.6,1.6,3.05286750449475,19.4383,27.3938,N,122.787372587187,0
0,Y,-1.2,1.8,-0.1,0.8,0.4,-0.5,22.5,-1.3,0.3,-0.1,-1.5,1.50332963783729,25.6234,33.3567,N,-29.9743871975681,0
0,Y,-1.5,0.0,0.3,0.0,1.2,0.9,-45,-1.0,-1.7,0.5,-1.7,1.77200451466693,25.5915,38.5471,N,-31.3286928678042,0
0,Y,-1.2,-1.8,0.1,-0.5,1.3,-1.1,67.5,1.0,-2.2,2.2,-0.4,2.23606797749979,21.362,29.2286,N,-59.1026348397335,0
0,Y,1.2,-1.8,0.0,-0.6,0.9,0.2,90,-2.2,-0.2,-3.4,1.6,3.75765884561119,23.4832,31.672,N,91.1783862500558,0
0,Y,-1.5,0.0,0.2,0.0,0.2,1.4,-90,0.2,2.2,1.7,2.2,2.78028775489157,22.0403,31.0292,N,129.472459848344,0
0,Y,0.0,2.1,0.0,0.5,1.4,-0.2,-65.5,1.3,2.1,1.3,0,1.3,21.9049,32.8272,N,28.839139945805,0
0,Y,-1.2,-1.8,0.1,-0.5,0.6,-1.8,112.5,-1.5,-1.2,-0.3,0.6,0.670820393249937,2.36393,13.35282,L,15.9453959009229,1
0,Y,0.0,-2.1,0.0,-0.5,-1.4,0.2,-65.5,0.3,-1.5,0.3,0.6,0.670820393249937,4.77384,12.45162,L,-13.6713071321958,1
0,Y,1.5,0.0,-0.3,0.0,-0.3,1.2,90,1.8,0.4,0.3,0.4,0.5,3.23288,10.73288,L,-12.8356094864014,1
0,Y,1.2,1.8,0.0,0.6,1.3,0.6,-135,-0.2,2.9,-1.4,1.1,1.78044938147649,1.90098,11.55654,L,-28.3477002696458,1
0,Y,1.5,0.0,-0.2,0.0,-1.6,0.6,22.5,0.7,-0.2,-0.8,-0.2,0.824621125123532,3.20287,14.22509,L,8.22494538241242,1
0,Y,-1.2,1.8,0.0,0.6,1.5,0.6,-45,-0.9,-0.7,0.3,-2.5,2.51793566240283,11.8642,20.84196,L,-52.4054175989415,1
